SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
postcss.js~407513-407515:45-9,<builtin>~1-1:1-1,276,21,33,:anonymous,Array.prototype.indexOf,benchmarks/postcss.js~407514:17576316-17576331,
postcss.js~84790-84801:13-5,postcss.js~84197-84201:1-1,2,111,13,select,nameMapper,benchmarks/postcss.js~84800:2756793-2756813,
postcss.js~180709-180771:7-7,<function>~1-4:1-2,1,431,10,createCompiled,:program,benchmarks/postcss.js~180755-180758:6974914-6975045,
postcss.js~194195-194209:5-5,postcss.js~193208-193210:5-5,2,86,34,toArray,isArrayLike,benchmarks/postcss.js~194199:7401667-7401684,
postcss.js~84322-84324:42-11,<builtin>~1-1:1-1,72,33,36,array,String.prototype.replace,benchmarks/postcss.js~84323:2743061-2743084,
<builtin>~1-1:1-1,lodash.templateSources[36]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
postcss.js~408124-408161:5-5,postcss.js~408106-408106:1-153,12,309,42,Gradient,_classCallCheck,benchmarks/postcss.js~408127:17601122-17601152,
postcss.js~83725-83733:5-5,postcss.js~83725-83733:5-5,44,8,84,Root,Root,benchmarks/postcss.js~83725-83733:2719620-2719871,
postcss.js~179736-179747:25-7,<builtin>~1-1:1-1,65,75,22,:anonymous,RegExp.prototype.test,benchmarks/postcss.js~179739:6941886-6941905,
postcss.js~405099-405112:5-5,postcss.js~85045-85053:33-5,20,197,219,OldSelector,regexp,benchmarks/postcss.js~405104:17484863-17484890,
<builtin>~1-1:1-1,/^last\s+(\d+)\s+years?$/i~1-1:1-26,84,96,18,RegExp.prototype.exec,regex TRegex fwd: /^last\s+(\d+)\s+years?$/i,<builtin>~1:0,
postcss.js~156651-156653:39-5,postcss.js~156685-156701:36-5,1687,60,174,stringify,atrule,benchmarks/postcss.js~156652:5911544-5911575,
postcss.js~406537-406537:1-153,<builtin>~1-1:1-1,8,42,18,_classCallCheck,Function.prototype.[Symbol.hasInstance],benchmarks/postcss.js~406537:17538775-17538807,
<builtin>~1-1:1-1,lodash.templateSources[75]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,postcss.js~84301-84334:25-3,102,29,199,Array.prototype.reduce,:anonymous,<builtin>~1:0,
postcss.js~200728-200742:1-1,postcss.js~200720-200726:1-1,2,72,38,alloc,assertSize,benchmarks/postcss.js~200729:7600904-7600919,
postcss.js~35776-35782:22-5,<builtin>~1-1:1-1,2688,125,33,clone,[[Enumerate]].prototype.next,benchmarks/postcss.js~35778-35780:1090958-1091040,
postcss.js~407551-407555:5-5,postcss.js~407551-407555:5-5,2,8,45,JustifyContent,JustifyContent,benchmarks/postcss.js~407551-407555:17578059-17578225,
postcss.js~185379-185390:5-5,<builtin>~1-1:1-1,92,134,36,baseKeys,%ForInIteratorPrototype%.next,benchmarks/postcss.js~185384-185388:7119941-7120091,
postcss.js~196740-196743:28-7,lodash.templateSources[88]~1-13:1-2,1,51,10,result,:program,benchmarks/postcss.js~196741:7480055-7480107,
postcss.js~403793-403805:37-5,<builtin>~1-1:1-1,300,75,18,disabled,String.prototype.indexOf,benchmarks/postcss.js~403795:17445305-17445324,
postcss.js~404246-404319:23-9,<builtin>~1-1:1-1,21492,559,18,:anonymous,String.prototype.indexOf,benchmarks/postcss.js~404276:17460386-17460411,
postcss.js~396570-396570:1-153,<builtin>~1-1:1-1,20,40,18,_classCallCheck,Function.prototype.[Symbol.hasInstance],benchmarks/postcss.js~396570:16845087-16845119,
<function>~1-7:2-1,postcss.js~197631-197633:5-5,1,130,7,anonymous,noop,<function>~5:569-594,
postcss.js~196740-196743:28-7,lodash.templateSources[29]~1-13:1-2,1,51,10,result,:program,benchmarks/postcss.js~196741:7480055-7480107,
