SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
source-map.js~382207-382209:55-3,source-map.js~34602-34648:1-1,185,24,122,this._absoluteSources,computeSourceURL,benchmarks/source-map.js~382208:16185465-16185515,
source-map.js~383344-383384:36-5,<builtin>~1-1:1-1,1194,193,17,:anonymous,String.prototype.substr,benchmarks/source-map.js~383380:16225963-16226002,
source-map.js~180709-180771:7-7,<function>~1-4:1-2,1,431,10,createCompiled,:program,benchmarks/source-map.js~180760-180763:6975070-6975200,
source-map.js~193208-193210:5-5,source-map.js~193589-193592:5-5,417,34,30,isArrayLike,isLength,benchmarks/source-map.js~193209:7374870-7374891,
source-map.js~382158-382216:1-1,source-map.js~382158-382216:1-1,23,8,367,BasicSourceMapConsumer,BasicSourceMapConsumer,benchmarks/source-map.js~382158-382216:16183241-16185684,
source-map.js~180507-180545:31-9,<builtin>~1-1:1-1,6,250,42,:anonymous,Array.prototype.push,benchmarks/source-map.js~180539:6966449-6966505,
<builtin>~1-1:1-1,lodash.templateSources[53]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[31]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~196646-196752:5-5,source-map.js~188445-188461:14-7,77,641,143,template,:anonymous,benchmarks/source-map.js~196658:7477082-7477156,
source-map.js~196740-196743:28-7,lodash.templateSources[38]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~178695-178704:19-1,<builtin>~1-1:1-1,1,116,9,:=>,Number.prototype.toFixed,benchmarks/source-map.js~178702:6909829-6909841,
source-map.js~180825-180828:7-7,source-map.js~196646-196752:5-5,77,75,641,interpolate,template,benchmarks/source-map.js~180827:6977092-6977154,
source-map.js~180408-180423:5-5,source-map.js~188445-188461:14-7,2,93,143,clone,:anonymous,benchmarks/source-map.js~180413:6962242-6962299,
source-map.js~186567-186589:5-5,<builtin>~1-1:1-1,52,146,11,composeArgs,Array,benchmarks/source-map.js~186574:7159163-7159193,
source-map.js~180709-180771:7-7,<builtin>~1-1:1-1,7,429,29,createCompiled,Function,benchmarks/source-map.js~180766-180770:6975252-6975445,
source-map.js~188445-188461:14-7,<builtin>~1-1:1-1,275,143,11,:anonymous,Array,benchmarks/source-map.js~188455:7222870-7222885,
source-map.js~194471-194481:33-5,<builtin>~1-1:1-1,417,146,41,assign,%ForInIteratorPrototype%.next,benchmarks/source-map.js~194476-194480:7408854-7408993,
source-map.js~180825-180828:7-7,lodash.templateSources[72]~4-14:8-1,1,75,129,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
<builtin>~1-1:1-1,/(__e\(.*?\)|\b__t\)) \+\n'';/...~1-1:1-31,77,95,18,RegExp.prototype.exec,regex TRegex fwd: /(__e\(.*?\)|\b__t\)) \+\n'';/...,<builtin>~1:0,
source-map.js~194471-194481:33-5,<builtin>~1-1:1-1,352,146,12,assign,Function.prototype.call,benchmarks/source-map.js~194477:7408892-7408923,
source-map.js~382225-382245:53-1,source-map.js~152158-152172:30-1,348,95,83,BasicSourceMapConsumer._findSourceIndex,ArraySet_indexOf,benchmarks/source-map.js~382232:16186183-16186219,
<builtin>~1-1:1-1,lodash.templateSources[63]~1-15:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~182510-182519:3-3,source-map.js~182897-182899:28-5,77,72,24,arrayMap,:anonymous,benchmarks/source-map.js~182516:7029900-7029935,
<builtin>~1-1:1-1,source-map.js~180217-180224:20-9,1,12,61,Function.prototype.call,onCycle,<builtin>~1:0,
source-map.js~180709-180771:7-7,<function>~1-7:1-2,1,431,10,createCompiled,:program,benchmarks/source-map.js~180766-180770:6975252-6975445,
source-map.js~383576-383582:33-1,source-map.js~383479-383495:29-1,24,30,138,SourceNode_toString,SourceNode_walk,benchmarks/source-map.js~383578-383580:16232076-16232126,
<builtin>~1-1:1-1,lodash.templateSources[45]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[57]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,325318,33,62,String.prototype.split,RegExp.prototype.[Symbol.split],<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[27]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~180507-180545:31-9,<builtin>~1-1:1-1,2,257,55,:anonymous,Array.prototype.slice,benchmarks/source-map.js~180526:6965955-6965986,
source-map.js~196740-196743:28-7,lodash.templateSources[72]~1-15:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~196740-196743:28-7,lodash.templateSources[62]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~34241-34283:1-1,<builtin>~1-1:1-1,66,214,49,normalize,Array.prototype.splice,benchmarks/source-map.js~34256:1044580-1044597,
source-map.js~196740-196743:28-7,lodash.templateSources[36]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~180884-180894:7-7,source-map.js~180408-180423:5-5,2,84,93,enqueue,clone,benchmarks/source-map.js~180885:6979323-6979335,
source-map.js~186794-186807:14-7,source-map.js~180416-180420:23-7,38,89,35,:anonymous,:anonymous,benchmarks/source-map.js~186802:7166443-7166480,
source-map.js~180825-180828:7-7,lodash.templateSources[24]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
source-map.js~383344-383384:36-5,source-map.js~383324-383334:25-5,1176,227,29,:anonymous,shiftNextLine,benchmarks/source-map.js~383350:16224541-16224555,
source-map.js~382338-382439:3-3,source-map.js~381961-381964:3-3,965244,519,53,SourceMapConsumer_parseMappings,SourceMapConsumer_charIsMappingSeparator,benchmarks/source-map.js~382372:16190797-16190835,
source-map.js~188199-188210:5-5,<builtin>~1-1:1-1,94,112,16,isKey,Array.isArray,benchmarks/source-map.js~188200:7214478-7214491,
source-map.js~180709-180771:7-7,<function>~1-4:1-2,1,431,10,createCompiled,:program,benchmarks/source-map.js~180755-180758:6974914-6975045,
source-map.js~196740-196743:28-7,lodash.templateSources[83]~1-15:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
<builtin>~1-1:1-1,source-map.js~179017-179020:12-3,3,27,139,Function.prototype.apply,onCycle,<builtin>~1:0,
source-map.js~188016-188036:5-5,source-map.js~184990-184992:5-5,94,145,30,hasPath,baseHas,benchmarks/source-map.js~188025:7209029-7209048,
<builtin>~1-1:1-1,/^\)]}'[^\n]*\n/~1-1:1-16,23,95,23,RegExp.prototype.exec,regex TRegex fwd: /^\)]}'[^\n]*\n/,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[50]~1-15:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~382158-382216:1-1,source-map.js~34179-34187:1-1,23,367,138,BasicSourceMapConsumer,getArg,benchmarks/source-map.js~382164:16183447-16183479,
source-map.js~180825-180828:7-7,lodash.templateSources[28]~4-14:8-1,1,75,129,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
<builtin>~1-1:1-1,lodash.templateSources[95]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~180825-180828:7-7,lodash.templateSources[41]~4-14:8-1,1,75,129,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
source-map.js~180825-180828:7-7,lodash.templateSources[89]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
source-map.js~196646-196752:5-5,<builtin>~1-1:1-1,77,641,29,template,RegExp,benchmarks/source-map.js~196669-196674:7477494-7477737,
<builtin>~1-1:1-1,lodash.templateSources[91]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[42]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,source-map.js~182993-182995:3-3,16,172,50,RegExp.prototype.[Symbol.replace],escapeStringChar,<builtin>~1:0,
source-map.js~383196-383240:1-1,source-map.js~383166-383170:1-1,197341,125,48,doQuickSort,swap,benchmarks/source-map.js~383216:16219909-16219932,
source-map.js~179677-179679:5-5,source-map.js~194011-194014:5-5,2,43,47,isStringable,isString,benchmarks/source-map.js~179678:6939582-6939598,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,6,19,7,Date.prototype.[Symbol.toPrimitive],Date.prototype.valueOf,<builtin>~1:0,
source-map.js~184511-184591:5-5,source-map.js~187748-187750:5-5,32,405,20,baseClone,getAllKeys,benchmarks/source-map.js~184581:7092630-7092644,
<builtin>~1-1:1-1,lodash.templateSources[51]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~182388-182398:3-3,source-map.js~180552-180554:25-9,21,56,39,arrayEach,:anonymous,benchmarks/source-map.js~182393:7026425-7026460,
source-map.js~196740-196743:28-7,lodash.templateSources[91]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~180930-181003:7-7,<builtin>~1-1:1-1,3,306,7,evaluate,Math.sqrt,benchmarks/source-map.js~180960:6981838-6981847,
source-map.js~382016-382027:18-5,source-map.js~152179-152184:25-1,324924,92,60,:anonymous,ArraySet_at,benchmarks/source-map.js~382017:16177530-16177561,
<builtin>~1-1:1-1,lodash.templateSources[29]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~180709-180771:7-7,source-map.js~180825-180828:7-7,7,429,75,createCompiled,interpolate,benchmarks/source-map.js~180716:6973549-6973573,
source-map.js~196740-196743:28-7,lodash.templateSources[64]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~184511-184591:5-5,source-map.js~179536-179541:51-5,52,405,40,baseClone,cloneDeep,benchmarks/source-map.js~184518:7090813-7090829,
source-map.js~196740-196743:28-7,lodash.templateSources[76]~1-25:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
